student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
49,18,male,private,post graduate,1.3,89.0,yes,15-30 min,yes,coaching,31.5,26.9,32.6,37.5,f
50,18,male,private,post graduate,7.0,79.2,no,30-60 min,no,coaching,86.6,91.1,100.0,95.9,a
51,18,male,public,phd,4.8,70.3,yes,>60 min,yes,textbook,66.9,66.7,82.8,76.2,c
52,15,male,private,graduate,6.7,73.0,yes,15-30 min,no,notes,87.1,78.6,99.8,90.4,b
53,16,female,public,post graduate,5.3,70.5,yes,15-30 min,yes,notes,77.9,80.5,79.9,77.0,c
54,16,other,public,post graduate,6.3,91.4,no,>60 min,yes,coaching,95.8,93.3,85.2,88.4,b
55,16,other,private,post graduate,6.0,90.7,yes,>60 min,yes,online videos,91.9,85.6,100.0,92.5,b
56,14,other,public,graduate,2.5,68.7,yes,>60 min,no,online videos,39.3,25.2,39.2,39.5,f
57,17,other,public,post graduate,7.5,84.9,no,>60 min,yes,textbook,83.4,81.5,79.5,86.2,b
58,14,female,private,no formal,5.3,76.6,yes,15-30 min,no,online videos,67.8,81.5,67.3,76.9,c
59,18,other,public,graduate,2.0,87.4,yes,15-30 min,no,online videos,39.8,40.9,59.9,41.1,e
60,18,male,private,high school,2.8,52.5,yes,>60 min,yes,notes,51.3,48.7,53.4,46.2,e
61,19,other,public,diploma,4.5,66.8,yes,15-30 min,no,mixed,69.7,61.7,53.0,65.1,d
62,18,male,private,post graduate,7.1,66.8,yes,>60 min,no,online videos,78.9,63.1,83.9,85.8,b
63,16,other,private,no formal,6.5,79.8,yes,30-60 min,yes,coaching,76.1,61.2,76.7,77.4,c
64,19,male,public,post graduate,2.8,60.4,yes,30-60 min,yes,group study,62.7,65.5,47.6,54.9,e
65,16,male,private,high school,5.7,76.6,yes,30-60 min,no,group study,84.1,83.3,88.2,80.9,c
66,15,female,public,post graduate,0.5,99.0,yes,>60 min,no,notes,32.1,28.5,38.0,39.2,f
67,19,other,private,post graduate,3.0,52.2,yes,<15 min,yes,notes,33.8,45.9,47.3,46.9,e
68,16,male,public,no formal,6.8,75.2,no,<15 min,yes,online videos,57.3,100.0,71.8,82.4,c
69,14,male,private,high school,1.6,56.9,yes,15-30 min,yes,group study,54.0,34.8,35.3,40.8,e
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,80.1,57.2,47.2,57.1,d
71,18,other,public,diploma,0.5,62.0,no,15-30 min,no,group study,32.0,30.9,51.4,24.6,f
72,15,other,public,diploma,0.7,95.1,yes,<15 min,yes,group study,41.4,43.6,23.8,50.0,e
73,16,female,private,no formal,1.6,65.9,yes,30-60 min,yes,coaching,33.9,62.8,30.7,37.1,f
74,14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,group study,53.1,58.0,59.5,59.5,d
75,18,female,private,no formal,4.2,50.2,no,30-60 min,yes,group study,48.3,63.2,46.5,51.5,e
76,16,other,public,high school,7.3,91.6,yes,>60 min,yes,online videos,99.6,100.0,99.1,96.4,a
77,15,male,private,diploma,1.1,63.1,no,>60 min,yes,group study,36.6,40.0,23.7,32.0,f
78,15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,group study,71.2,87.5,84.0,80.7,c
79,17,male,private,diploma,5.5,94.2,yes,<15 min,yes,group study,94.7,75.8,100.0,91.5,b
80,18,male,private,phd,1.8,65.2,no,15-30 min,no,mixed,5.9,19.0,12.8,32.7,f
81,19,female,private,graduate,2.7,79.2,yes,30-60 min,yes,textbook,74.0,75.2,54.3,59.6,d
82,16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,44.8,48.9,54.0,58.5,d
83,14,female,public,high school,6.4,71.0,yes,<15 min,no,mixed,83.6,100.0,98.5,83.0,c
84,18,female,private,post graduate,5.9,55.1,no,<15 min,no,group study,74.1,55.2,72.0,69.1,d
85,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,63.8,57.9,53.0,61.7,d
86,18,female,public,graduate,0.9,82.4,yes,>60 min,no,online videos,49.0,45.7,45.0,43.9,e
87,14,male,public,diploma,1.8,94.6,yes,>60 min,yes,online videos,74.3,57.7,46.7,61.3,d
88,15,other,private,high school,5.2,88.4,no,>60 min,yes,textbook,67.7,81.7,89.5,73.9,c
89,18,female,public,graduate,1.2,88.7,no,30-60 min,yes,notes,55.6,73.1,57.4,53.4,e
90,18,female,private,high school,4.5,79.5,yes,<15 min,no,group study,57.0,56.1,62.6,63.4,d
91,16,other,public,phd,5.1,50.3,yes,30-60 min,no,group study,71.3,50.2,63.1,59.9,d
92,18,male,private,post graduate,5.7,94.1,yes,30-60 min,yes,textbook,80.5,86.2,79.4,82.0,c
93,19,female,public,post graduate,1.4,91.5,yes,30-60 min,yes,group study,40.0,46.1,31.2,41.3,e
94,16,female,public,high school,3.9,86.4,no,30-60 min,no,online videos,57.3,49.7,54.7,59.5,d
95,19,male,private,no formal,4.0,93.9,yes,<15 min,no,group study,80.2,93.9,87.6,76.8,c
96,15,male,public,no formal,6.8,59.2,yes,30-60 min,no,notes,86.9,79.9,88.2,87.9,b
97,15,male,public,phd,4.0,64.1,yes,>60 min,yes,group study,65.6,73.9,70.1,66.6,d
98,18,male,private,phd,3.6,57.9,yes,15-30 min,no,group study,42.3,46.6,57.5,46.2,e
99,17,other,private,post graduate,1.4,82.3,yes,15-30 min,no,coaching,37.2,50.4,48.3,39.9,f
100,14,male,private,graduate,5.7,71.9,no,<15 min,no,group study,67.8,57.0,61.6,66.9,d
101,18,male,public,high school,5.1,55.1,yes,30-60 min,yes,textbook,76.8,73.0,74.8,66.8,d
102,15,other,private,post graduate,5.9,78.8,yes,<15 min,yes,coaching,72.3,48.8,70.5,68.8,d
103,18,female,public,graduate,5.4,66.9,yes,30-60 min,yes,mixed,68.7,72.3,64.8,73.5,c
104,14,other,private,graduate,7.1,74.5,yes,30-60 min,no,online videos,77.9,75.6,89.0,81.9,c
105,18,other,private,no formal,7.1,63.1,yes,15-30 min,yes,notes,100.0,90.8,96.0,86.4,b
106,18,male,private,graduate,2.8,58.1,yes,15-30 min,no,group study,24.0,58.0,23.3,39.3,f
107,18,female,private,post graduate,1.9,72.5,yes,<15 min,yes,textbook,39.3,44.8,42.7,52.9,e
108,17,male,private,post graduate,7.4,61.3,no,30-60 min,yes,textbook,68.3,78.7,66.9,75.9,c
109,16,female,public,no formal,5.8,70.3,yes,<15 min,no,mixed,71.6,60.4,85.2,65.2,d
110,18,other,private,no formal,7.8,69.1,no,30-60 min,no,online videos,73.4,96.5,74.7,82.4,c
111,15,other,private,phd,4.2,97.0,yes,30-60 min,yes,online videos,58.0,71.2,49.0,67.3,d
112,18,other,private,high school,7.7,59.3,yes,30-60 min,yes,online videos,98.5,85.1,76.7,88.9,b
113,17,male,public,diploma,1.4,64.3,yes,>60 min,no,group study,21.1,43.7,43.6,35.7,f
114,16,male,private,graduate,4.9,89.6,yes,30-60 min,yes,group study,81.1,63.6,67.7,74.2,c
115,17,female,public,diploma,4.2,64.8,yes,15-30 min,yes,mixed,73.7,64.0,52.8,61.3,d
116,17,male,private,phd,0.5,74.0,yes,<15 min,no,textbook,44.4,35.1,20.1,37.1,f
117,14,female,private,phd,1.9,88.1,yes,15-30 min,no,mixed,57.0,61.8,63.6,54.8,e
118,14,other,private,diploma,1.7,50.2,no,30-60 min,yes,coaching,39.2,12.8,40.9,32.1,f
119,15,male,private,high school,1.0,97.8,yes,15-30 min,yes,mixed,65.9,32.0,41.9,39.6,f
120,14,other,public,phd,7.6,73.1,yes,15-30 min,no,online videos,82.3,79.1,72.6,81.9,c
121,16,other,public,post graduate,7.7,88.0,yes,30-60 min,no,group study,92.4,76.4,86.1,92.0,b
122,18,other,public,post graduate,7.2,96.0,yes,<15 min,no,notes,100.0,71.6,83.4,89.4,b
123,17,male,private,diploma,7.9,93.8,yes,>60 min,yes,coaching,92.7,100.0,95.8,98.4,a
124,16,male,private,diploma,6.7,61.0,yes,>60 min,no,group study,85.3,86.2,80.0,87.8,b
125,19,male,private,high school,7.5,77.8,no,<15 min,no,mixed,100.0,100.0,76.9,87.1,b
126,17,male,private,diploma,2.0,70.5,no,>60 min,no,group study,62.7,52.9,52.8,53.1,e
127,14,male,private,graduate,2.4,76.6,no,30-60 min,no,notes,40.3,64.6,67.1,52.7,e
128,18,female,public,no formal,7.0,89.0,yes,>60 min,no,mixed,83.8,71.4,71.2,82.6,c
129,17,male,private,graduate,4.1,67.7,yes,>60 min,no,online videos,72.3,71.7,66.9,65.0,d
130,17,male,private,graduate,5.9,73.9,yes,15-30 min,yes,textbook,80.4,66.8,92.5,81.1,c
131,17,other,public,phd,4.7,80.4,yes,>60 min,yes,online videos,72.7,78.1,75.3,73.8,c
132,17,other,private,no formal,2.8,63.5,yes,>60 min,no,mixed,27.5,63.3,41.9,40.6,e
133,14,other,private,high school,2.6,80.3,yes,30-60 min,yes,group study,49.8,39.9,35.2,43.3,e
134,17,male,private,diploma,6.1,57.4,yes,15-30 min,no,group study,99.2,81.5,86.3,78.3,c
135,18,female,private,phd,4.5,81.1,yes,<15 min,no,coaching,77.4,70.7,84.0,73.4,c
136,15,female,private,high school,3.2,57.2,yes,15-30 min,yes,mixed,59.8,53.9,63.5,50.1,e
137,17,male,public,phd,5.1,88.8,no,15-30 min,yes,textbook,72.8,80.9,87.6,81.6,c
138,14,other,public,phd,3.6,59.7,no,15-30 min,no,coaching,43.6,78.1,50.4,54.2,e
139,16,female,private,no formal,4.1,82.3,yes,>60 min,no,textbook,59.7,71.3,67.0,67.6,d
140,16,other,public,diploma,5.6,79.1,yes,30-60 min,yes,mixed,88.7,76.9,76.4,85.7,b
141,19,male,private,high school,3.9,71.3,yes,15-30 min,no,mixed,53.8,46.4,54.2,52.6,e
142,15,female,public,diploma,7.6,82.3,yes,<15 min,yes,group study,73.5,100.0,92.8,89.7,b
143,15,male,private,phd,4.1,92.3,yes,30-60 min,yes,online videos,58.5,59.0,66.5,62.0,d
144,16,other,private,diploma,7.7,56.0,yes,<15 min,no,mixed,79.1,91.3,92.0,78.7,c
145,19,female,private,graduate,6.9,83.8,no,30-60 min,no,group study,99.1,100.0,96.2,95.6,a
146,19,male,public,no formal,7.2,70.5,yes,15-30 min,yes,textbook,90.9,86.7,82.9,90.2,b
147,14,male,private,graduate,6.2,83.7,no,30-60 min,yes,mixed,93.3,78.5,82.8,84.5,c
148,15,female,private,diploma,5.0,93.8,yes,15-30 min,yes,coaching,58.1,77.1,74.9,71.7,c
149,18,male,public,phd,4.5,82.6,yes,<15 min,yes,textbook,87.0,58.0,76.3,68.7,d
150,14,male,private,post graduate,4.6,58.0,yes,15-30 min,no,group study,41.0,73.1,57.3,61.2,d
151,19,other,public,high school,2.0,70.8,yes,30-60 min,no,group study,47.8,30.8,32.8,36.9,f
152,15,other,private,graduate,2.1,77.5,yes,30-60 min,no,group study,52.8,37.9,45.6,39.3,f
153,19,female,public,diploma,0.8,56.3,yes,>60 min,no,notes,12.8,26.2,14.7,22.6,f
154,15,other,private,diploma,6.1,82.2,yes,<15 min,yes,mixed,100.0,91.6,92.1,87.5,b
155,16,female,private,diploma,1.4,85.7,yes,30-60 min,yes,mixed,45.4,37.1,55.7,46.8,e
156,17,male,private,post graduate,4.9,88.1,yes,30-60 min,no,coaching,75.8,57.7,77.6,77.5,c
157,14,other,private,high school,1.5,56.0,yes,<15 min,no,coaching,35.6,20.4,33.1,26.5,f
158,17,male,private,no formal,1.0,85.3,no,15-30 min,no,mixed,39.8,41.5,27.9,38.4,f
159,17,other,private,high school,4.5,68.3,yes,<15 min,no,coaching,53.4,67.8,55.6,58.1,d
160,18,female,public,post graduate,7.0,60.6,yes,<15 min,yes,group study,82.7,71.7,77.0,86.0,b
161,19,male,private,high school,3.2,76.2,no,15-30 min,no,group study,51.0,48.2,54.2,48.9,e
162,17,male,public,no formal,7.4,78.6,yes,<15 min,no,online videos,80.1,69.3,61.2,86.0,b
163,16,other,private,diploma,0.6,72.8,yes,30-60 min,yes,group study,43.3,13.9,45.8,37.8,f
164,16,other,private,phd,4.0,92.0,yes,<15 min,yes,textbook,67.0,93.9,65.3,71.9,c
165,16,female,private,phd,1.6,57.8,no,<15 min,yes,coaching,39.0,38.4,35.6,43.4,e
166,18,male,public,phd,2.9,70.4,yes,>60 min,no,group study,54.1,59.9,70.7,58.3,d
167,15,other,public,post graduate,0.7,63.4,yes,30-60 min,no,group study,18.0,45.5,36.2,37.8,f
168,15,other,private,post graduate,0.8,52.4,yes,15-30 min,no,notes,29.6,50.3,27.8,32.4,f
169,16,female,private,post graduate,5.8,67.0,yes,>60 min,yes,textbook,70.4,64.0,69.2,66.2,d
170,14,female,public,no formal,5.4,85.9,yes,>60 min,no,group study,95.2,71.2,80.1,78.4,c
171,14,other,public,diploma,2.1,76.2,no,<15 min,no,mixed,54.8,33.5,38.2,39.6,f
172,14,female,private,graduate,7.3,70.9,yes,15-30 min,yes,group study,86.9,84.2,97.3,86.7,b
173,18,male,private,diploma,5.7,73.7,yes,30-60 min,no,coaching,80.7,80.6,58.2,80.8,c
174,18,male,public,post graduate,3.0,65.6,yes,<15 min,yes,online videos,43.7,50.5,39.8,50.5,e
175,18,female,public,phd,3.6,56.1,yes,30-60 min,no,mixed,55.8,42.0,37.8,48.2,e
176,16,other,private,graduate,2.7,79.5,yes,<15 min,no,notes,50.8,52.3,79.3,63.4,d
177,18,other,public,no formal,6.7,90.8,yes,>60 min,no,group study,77.3,100.0,99.8,86.1,b
178,14,female,public,diploma,4.2,89.5,yes,15-30 min,yes,online videos,48.0,62.7,64.5,63.1,d
179,19,male,public,high school,1.5,61.7,yes,30-60 min,no,textbook,35.8,28.0,36.3,36.9,f
180,17,female,private,diploma,2.0,71.7,yes,>60 min,yes,textbook,45.7,24.3,40.3,43.7,e
181,19,male,public,high school,2.7,77.6,yes,30-60 min,yes,coaching,38.0,51.5,59.8,49.5,e
182,14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,online videos,49.9,56.9,47.5,59.5,d
183,16,female,public,high school,4.9,59.8,yes,>60 min,no,coaching,78.7,64.1,81.9,73.0,c
184,18,other,private,diploma,7.7,56.6,yes,30-60 min,no,textbook,79.1,89.3,98.0,81.5,c
185,16,other,private,no formal,2.5,96.6,yes,15-30 min,no,mixed,50.3,47.4,61.8,59.7,d
186,16,other,public,no formal,3.0,57.3,no,15-30 min,yes,notes,32.5,39.6,41.6,38.6,f
187,14,male,private,high school,0.7,99.5,yes,30-60 min,no,coaching,51.7,49.6,46.3,44.7,e
188,16,other,private,graduate,3.3,79.9,yes,15-30 min,yes,mixed,64.3,47.5,54.3,58.4,d
189,15,male,private,graduate,5.6,74.9,yes,<15 min,no,notes,70.4,72.9,55.4,71.8,c
190,15,female,private,diploma,7.7,59.4,yes,30-60 min,no,group study,65.5,73.4,77.6,76.1,c
191,18,other,public,graduate,6.1,93.0,yes,30-60 min,no,group study,73.9,92.3,80.2,86.6,b
192,17,other,private,high school,1.4,58.6,yes,30-60 min,no,online videos,7.6,32.8,16.7,25.5,f
193,17,female,private,post graduate,7.2,70.1,yes,15-30 min,yes,textbook,71.1,55.2,78.0,80.1,c
194,16,male,private,no formal,6.8,52.4,yes,<15 min,no,mixed,90.4,88.5,91.3,84.1,c
195,19,female,private,no formal,1.9,51.1,yes,<15 min,yes,online videos,24.7,36.9,36.8,32.5,f
196,14,other,private,phd,7.5,86.5,yes,30-60 min,no,coaching,82.8,100.0,96.6,93.0,b
197,16,female,private,diploma,5.9,60.4,yes,<15 min,yes,mixed,62.6,78.9,78.5,71.9,c
198,14,female,private,graduate,6.4,80.0,yes,30-60 min,yes,coaching,86.3,92.6,94.7,90.7,b
199,16,female,public,diploma,3.9,86.2,yes,<15 min,yes,mixed,71.3,56.8,69.7,60.9,d
200,19,female,public,graduate,2.0,74.6,yes,15-30 min,no,coaching,45.7,43.3,65.7,54.9,e
201,16,male,public,post graduate,6.5,82.8,yes,>60 min,yes,online videos,84.0,93.9,98.9,90.0,b
202,19,other,private,post graduate,4.1,62.1,yes,15-30 min,no,mixed,38.3,44.0,43.1,50.1,e
203,16,male,public,high school,7.8,90.9,yes,15-30 min,no,mixed,100.0,92.8,100.0,100.0,a
204,18,other,public,graduate,1.7,60.3,yes,>60 min,yes,notes,41.8,40.5,37.8,42.2,e
205,16,male,public,post graduate,3.2,79.5,yes,<15 min,yes,mixed,45.8,63.5,50.2,59.9,d
206,15,female,private,diploma,6.0,91.8,yes,15-30 min,no,mixed,72.1,93.0,76.3,82.7,c
207,18,female,private,diploma,4.8,89.7,yes,15-30 min,no,mixed,84.1,82.3,71.1,80.2,c
208,19,female,public,graduate,3.7,52.6,yes,15-30 min,yes,mixed,68.6,60.5,66.4,57.8,d
209,15,female,private,graduate,5.8,68.4,yes,>60 min,yes,coaching,58.9,61.4,67.7,65.2,d
210,18,other,public,high school,6.0,92.6,yes,>60 min,yes,notes,89.1,77.9,93.2,82.5,c
211,15,male,public,phd,4.8,92.5,yes,<15 min,yes,notes,79.9,73.5,86.9,76.2,c
212,18,other,private,graduate,2.9,81.8,yes,>60 min,yes,group study,84.3,67.5,64.3,65.5,d
213,18,other,public,graduate,5.1,55.4,no,<15 min,no,notes,52.9,50.8,69.7,62.8,d
214,16,other,public,high school,4.6,70.2,yes,<15 min,no,textbook,79.3,51.6,47.3,61.4,d
215,18,male,private,post graduate,6.5,98.1,yes,30-60 min,yes,mixed,90.9,92.9,74.5,83.2,c
216,15,male,public,phd,5.4,55.3,yes,15-30 min,yes,mixed,58.4,68.2,52.9,67.5,d
217,14,female,private,post graduate,4.2,90.1,yes,<15 min,no,notes,82.4,48.1,66.6,75.7,c
218,14,male,public,graduate,0.6,70.9,yes,<15 min,no,textbook,35.3,47.9,35.1,43.0,e
219,16,other,private,graduate,1.8,87.2,no,30-60 min,no,textbook,54.4,52.6,46.8,52.1,e
220,19,other,private,high school,3.0,52.7,yes,15-30 min,no,textbook,53.2,49.2,42.7,47.3,e
221,14,female,private,no formal,5.0,50.5,yes,15-30 min,no,mixed,55.3,61.3,54.4,61.5,d
222,16,other,public,graduate,6.4,65.0,yes,15-30 min,yes,notes,100.0,99.3,71.5,82.4,c
223,18,male,private,high school,7.7,93.5,yes,<15 min,no,notes,99.0,98.9,100.0,99.1,a
224,15,other,public,no formal,5.0,84.0,yes,>60 min,no,coaching,69.6,45.8,67.5,69.1,d
225,18,male,private,post graduate,6.0,80.6,yes,15-30 min,yes,textbook,85.5,91.5,82.8,77.4,c
226,15,other,private,diploma,5.2,99.9,yes,>60 min,yes,online videos,93.0,95.9,78.3,85.6,b
227,18,female,private,phd,3.7,67.4,yes,30-60 min,no,group study,72.0,56.3,52.6,63.1,d
228,17,female,private,phd,5.1,92.5,no,<15 min,no,notes,87.3,74.9,90.4,80.2,c
229,17,male,private,no formal,3.5,55.5,no,15-30 min,no,textbook,76.3,64.3,66.4,54.8,e
230,15,female,public,post graduate,3.9,58.5,yes,>60 min,yes,mixed,47.1,71.6,47.1,44.6,e
231,16,other,private,diploma,7.3,73.9,yes,<15 min,no,mixed,99.2,100.0,96.2,97.2,a
232,19,other,private,post graduate,4.7,98.0,yes,<15 min,no,group study,83.9,63.3,86.5,70.5,c
233,14,female,public,no formal,1.3,85.2,yes,30-60 min,yes,textbook,39.8,46.2,50.7,39.7,f
234,18,male,public,diploma,4.4,55.6,yes,15-30 min,no,textbook,41.0,45.5,50.3,52.6,e
235,16,female,private,graduate,7.6,97.7,yes,30-60 min,yes,mixed,90.5,87.7,85.7,95.5,a
236,18,other,private,diploma,1.3,88.3,yes,>60 min,no,mixed,34.5,37.6,53.8,39.4,f
237,17,male,private,graduate,7.8,86.8,no,30-60 min,no,notes,100.0,95.5,63.0,87.6,b
238,16,other,public,no formal,7.9,77.6,yes,15-30 min,no,coaching,92.3,100.0,99.0,100.0,a
239,15,other,public,no formal,4.7,69.7,yes,>60 min,no,coaching,51.8,50.2,59.2,63.7,d
240,17,other,public,graduate,3.0,55.5,yes,<15 min,yes,group study,47.9,32.7,32.3,39.2,f
241,14,female,public,diploma,0.6,81.0,yes,>60 min,no,online videos,56.6,19.4,28.1,36.1,f
242,17,male,public,graduate,0.6,56.4,yes,<15 min,yes,mixed,14.4,39.3,27.5,28.6,f
243,14,male,public,diploma,3.4,79.5,no,<15 min,no,online videos,85.1,67.8,74.7,64.0,d
244,17,other,private,no formal,6.4,77.0,yes,15-30 min,no,notes,72.7,86.0,73.9,82.2,c
245,17,female,public,post graduate,7.6,79.8,no,<15 min,yes,mixed,77.5,95.8,100.0,95.8,a
246,14,male,public,no formal,1.7,91.3,yes,>60 min,yes,coaching,29.1,46.6,40.8,44.0,e
247,18,other,public,post graduate,4.2,70.6,yes,30-60 min,no,notes,69.7,71.9,55.9,69.1,d
248,16,male,private,no formal,4.3,71.8,yes,<15 min,no,online videos,66.0,73.7,62.2,70.3,c
249,18,other,private,phd,3.4,53.0,yes,30-60 min,no,coaching,39.1,31.6,34.5,40.0,e
250,14,female,public,high school,4.5,64.4,yes,<15 min,no,notes,53.7,68.1,54.1,59.2,d
251,15,female,private,phd,7.4,54.1,yes,30-60 min,no,online videos,74.3,99.7,76.5,87.5,b
252,16,male,private,no formal,3.8,57.1,yes,>60 min,yes,group study,55.5,51.3,55.0,48.8,e
253,15,male,public,diploma,1.5,71.3,yes,<15 min,yes,notes,27.0,30.2,38.5,32.5,f
254,15,other,private,diploma,5.5,70.4,no,15-30 min,yes,notes,74.5,82.2,61.5,63.2,d
255,17,female,private,no formal,0.7,96.8,yes,30-60 min,no,textbook,45.0,45.6,26.8,38.2,f
256,14,other,public,diploma,7.6,56.0,yes,>60 min,no,group study,74.0,61.4,71.1,77.6,c
257,18,other,private,high school,7.5,57.5,no,30-60 min,no,coaching,82.6,94.5,88.1,87.9,b
258,14,male,public,diploma,1.2,87.5,yes,15-30 min,yes,mixed,13.5,46.3,21.7,34.9,f
259,15,female,public,diploma,4.6,51.1,yes,<15 min,yes,textbook,66.7,56.7,45.3,58.4,d
260,17,other,public,high school,6.5,82.5,yes,30-60 min,no,group study,95.2,80.5,90.3,93.4,b
261,18,female,public,post graduate,4.0,87.4,yes,15-30 min,yes,group study,80.5,88.2,60.3,75.8,c
262,15,female,private,graduate,4.1,81.4,yes,>60 min,no,textbook,58.2,70.5,74.0,67.4,d
263,15,female,private,phd,7.8,64.4,no,30-60 min,no,coaching,86.2,98.5,87.4,86.1,b
264,19,other,public,post graduate,2.2,55.2,yes,>60 min,no,group study,23.7,38.5,49.4,36.2,f
